Date,Close,Open,High,Low,Volume,Change
29-08-2025,24426.85,24466.70,24572.45,24404.70,325.52M,-0.30%
28-08-2025,24500.90,24695.80,24702.65,24481.60,326.60M,-0.85%
26-08-2025,24712.05,24899.50,24919.65,24689.60,750.47M,-1.02%
25-08-2025,24967.75,24949.15,25021.55,24894.35,213.03M,+0.39%
22-08-2025,24870.10,25064.15,25084.85,24859.15,210.17M,-0.85%
21-08-2025,25083.75,25142.00,25153.65,25054.90,226.54M,+0.13%
20-08-2025,25050.55,24965.80,25088.70,24929.70,287.05M,+0.28%
19-08-2025,24980.65,24891.35,25012.65,24873.95,252.34M,+0.42%
18-08-2025,24876.95,24938.20,25022.00,24852.85,363.07M,+1.00%
14-08-2025,24631.30,24607.25,24673.65,24596.90,270.16M,+0.05%
13-08-2025,24619.35,24586.20,24664.55,24535.25,236.01M,+0.54%
12-08-2025,24487.40,24563.35,24702.60,24465.65,237.00M,-0.40%
11-08-2025,24585.05,24371.50,24600.85,24347.45,241.15M,+0.91%
08-08-2025,24363.30,24544.25,24585.50,24337.50,312.63M,-0.95%
07-08-2025,24596.15,24464.20,24634.20,24344.15,616.74M,+0.09%
06-08-2025,24574.20,24641.35,24671.40,24539.20,225.09M,-0.31%
05-08-2025,24649.55,24720.25,24733.10,24590.30,251.85M,-0.30%
04-08-2025,24722.75,24596.05,24736.25,24554.00,259.33M,+0.64%
01-08-2025,24565.35,24734.90,24784.15,24535.05,263.36M,-0.82%
31-07-2025,24768.35,24642.25,24956.50,24635.00,346.30M,-0.35%
30-07-2025,24855.05,24890.40,24902.30,24771.95,243.89M,+0.14%
29-07-2025,24821.10,24609.65,24847.15,24598.60,284.66M,+0.57%
28-07-2025,24680.90,24782.45,24889.20,24646.60,262.14M,-0.63%
25-07-2025,24837.00,25010.35,25010.35,24806.35,278.14M,-0.90%
24-07-2025,25062.10,25243.30,25246.25,25018.70,338.73M,-0.63%
23-07-2025,25219.90,25139.35,25233.50,25085.50,271.54M,+0.63%
22-07-2025,25060.90,25166.65,25182.00,25035.55,483.73M,-0.12%
21-07-2025,25090.70,24999.00,25111.40,24882.30,305.22M,+0.49%
18-07-2025,24968.40,25108.55,25144.60,24918.65,316.98M,-0.57%
17-07-2025,25111.45,25230.75,25238.35,25101.00,243.41M,-0.40%
16-07-2025,25212.05,25196.60,25255.30,25121.05,228.82M,+0.06%
15-07-2025,25195.80,25089.50,25245.20,25088.45,241.34M,+0.45%
14-07-2025,25082.30,25149.50,25151.10,25001.95,259.53M,-0.27%
11-07-2025,25149.85,25255.50,25322.45,25129.00,249.99M,-0.81%
10-07-2025,25355.25,25511.65,25524.05,25340.45,219.61M,-0.47%
09-07-2025,25476.10,25514.60,25548.70,25424.35,239.08M,-0.18%
08-07-2025,25522.50,25427.85,25548.05,25424.15,210.41M,+0.24%
07-07-2025,25461.30,25450.45,25489.80,25407.25,196.05M,0.00%
04-07-2025,25461.00,25428.85,25470.25,25331.65,193.51M,+0.22%
03-07-2025,25405.30,25505.10,25587.50,25384.35,293.43M,-0.19%
02-07-2025,25453.40,25588.30,25608.10,25378.75,309.83M,-0.35%
01-07-2025,25541.80,25551.35,25593.40,25501.80,260.67M,+0.10%
30-06-2025,25517.05,25661.65,25669.35,25473.30,270.98M,-0.47%
27-06-2025,25637.80,25576.65,25654.20,25523.55,563.96M,+0.35%
26-06-2025,25549.00,25268.95,25565.30,25259.90,428.89M,+1.21%
25-06-2025,25244.75,25150.35,25266.80,25125.05,260.58M,+0.80%
24-06-2025,25044.35,25179.90,25317.70,24999.70,450.19M,+0.29%
23-06-2025,24971.90,24939.75,25057.00,24824.85,248.53M,-0.56%
20-06-2025,25112.40,24787.65,25136.20,24783.65,574.65M,+1.29%
19-06-2025,24793.25,24803.25,24863.10,24733.40,274.62M,-0.08%
18-06-2025,24812.05,24788.35,24947.55,24750.45,237.60M,-0.17%
17-06-2025,24853.40,24977.85,24982.05,24813.70,242.42M,-0.37%
16-06-2025,24946.50,24732.35,24967.10,24703.60,305.81M,+0.92%
13-06-2025,24718.60,24473.00,24754.35,24473.00,318.71M,-0.68%
12-06-2025,24888.20,25164.45,25196.20,24825.90,328.31M,-1.01%
11-06-2025,25141.40,25134.15,25222.40,25081.30,301.25M,+0.15%
10-06-2025,25104.25,25196.05,25199.30,25055.45,307.32M,0.00%
09-06-2025,25103.20,25160.10,25160.10,25077.15,279.22M,+0.40%
06-06-2025,25003.05,24748.70,25029.50,24671.45,335.58M,+1.02%
05-06-2025,24750.90,24691.20,24899.85,24613.10,388.41M,+0.53%
04-06-2025,24620.20,24560.45,24644.25,24530.45,280.86M,+0.32%
03-06-2025,24542.50,24786.30,24845.10,24502.15,349.29M,-0.70%
02-06-2025,24716.60,24669.70,24754.40,24526.15,311.10M,-0.14%
30-05-2025,24750.70,24812.60,24863.95,24717.40,853.89M,-0.33%
29-05-2025,24833.60,24825.10,24892.60,24677.30,345.37M,+0.33%
28-05-2025,24752.45,24832.50,24864.25,24737.05,684.43M,-0.30%
27-05-2025,24826.20,24956.65,25062.90,24704.10,525.65M,-0.70%
26-05-2025,25001.15,24919.35,25079.20,24900.50,302.80M,+0.60%
23-05-2025,24853.15,24639.50,24909.05,24614.05,270.47M,+0.99%
22-05-2025,24609.70,24733.95,24737.50,24462.40,403.28M,-0.82%
21-05-2025,24813.45,24744.25,24946.20,24685.35,332.72M,+0.52%
20-05-2025,24683.90,24996.20,25010.35,24669.70,414.80M,-1.05%
19-05-2025,24945.45,25005.35,25062.95,24916.65,255.25M,-0.30%
16-05-2025,25019.80,25064.65,25070.00,24953.05,432.72M,-0.17%
15-05-2025,25062.10,24694.45,25116.25,24494.45,500.82M,+1.60%
14-05-2025,24666.90,24613.80,24767.55,24535.55,345.49M,+0.36%
13-05-2025,24578.35,24864.05,24973.80,24547.50,422.98M,-1.39%
12-05-2025,24924.70,24420.10,24944.80,24378.85,368.71M,+3.82%
09-05-2025,24008.00,23935.75,24164.25,23935.75,335.55M,-1.10%
08-05-2025,24273.80,24431.50,24447.25,24150.20,411.36M,-0.58%
07-05-2025,24414.40,24233.30,24449.60,24220.00,330.14M,+0.14%
06-05-2025,24379.60,24500.75,24509.65,24331.80,302.35M,-0.33%
05-05-2025,24461.15,24419.50,24526.40,24400.65,291.47M,+0.47%
